# Battle City: original Tank Force-inspired arcade artwork.
# ROM/gameplay unchanged. Regenerate with texture_sources/battle_city_tank_force/make_pack.py.
<ver>109
<scale>4
<supportedRom>E1061C9241B06A965FB7845CB951D921ACA010EF
<img>Chr_00_0.png
<img>Chr_00_1.png
<img>Chr_00_2.png
<img>Chr_00_3.png
<img>Chr_01_0.png
<img>Chr_01_1.png
<img>Chr_01_2.png
<img>Chr_01_3.png
<img>Chr_01_4.png
<img>Chr_01_5.png
<img>flag00.png
<img>tank_force_extra.png
<condition>arena,tileAtPosition,232,136,158,0F170600
[arena]<background>bgblank.png,1.0,0,0,0,0,0
<condition>p2hud,tileNearby,0,-8,15A,0F170600
<condition>frameA3,frameRange,20,15
<condition>frameA2,frameRange,20,10
<condition>frameA1,frameRange,20,5
<condition>frameA0,frameRange,20,0
[p2hud]<tile>11,114,0F170600,192,448,1,N
[frameA3]<tile>10,1C8,0F170600,192,0,1,N
[frameA2]<tile>10,1C8,0F170600,128,0,1,N
[frameA1]<tile>10,1C8,0F170600,64,0,1,N
[frameA0]<tile>10,1C8,0F170600,0,0,1,N
[frameA3]<tile>10,1CA,0F170600,224,0,1,N
[frameA2]<tile>10,1CA,0F170600,160,0,1,N
[frameA1]<tile>10,1CA,0F170600,96,0,1,N
[frameA0]<tile>10,1CA,0F170600,32,0,1,N
[frameA3]<tile>10,1C9,0F170600,192,32,1,N
[frameA2]<tile>10,1C9,0F170600,128,32,1,N
[frameA1]<tile>10,1C9,0F170600,64,32,1,N
[frameA0]<tile>10,1C9,0F170600,0,32,1,N
[frameA3]<tile>10,1CB,0F170600,224,32,1,N
[frameA2]<tile>10,1CB,0F170600,160,32,1,N
[frameA1]<tile>10,1CB,0F170600,96,32,1,N
[frameA0]<tile>10,1CB,0F170600,32,32,1,N
<tile>0,0,FF182738,0,0,1,N
<tile>0,1,FF182738,0,32,1,N
<tile>0,2,FF182738,32,0,1,N
<tile>0,3,FF182738,32,32,1,N
<tile>0,4,FF182738,64,0,1,N
<tile>0,5,FF182738,64,32,1,N
<tile>0,6,FF182738,96,0,1,N
<tile>0,7,FF182738,96,32,1,N
<tile>0,8,FF0A1B3B,128,0,1,N
<tile>0,9,FF0A1B3B,128,32,1,N
<tile>0,A,FF0A1B3B,160,0,1,N
<tile>0,B,FF0A1B3B,160,32,1,N
<tile>0,C,FF0A1B3B,192,0,1,N
<tile>0,D,FF0A1B3B,192,32,1,N
<tile>0,E,FF0A1B3B,224,0,1,N
<tile>0,F,FF0A1B3B,224,32,1,N
<tile>0,10,FF0A1B3B,256,0,1,N
<tile>0,11,FF0A1B3B,256,32,1,N
<tile>0,12,FF0A1B3B,288,0,1,N
<tile>0,13,FF0A1B3B,288,32,1,N
<tile>0,14,FF0A1B3B,320,0,1,N
<tile>0,15,FF0A1B3B,320,32,1,N
<tile>0,16,FF0A1B3B,352,0,1,N
<tile>0,17,FF0A1B3B,352,32,1,N
<tile>0,18,FF182738,384,0,1,N
<tile>0,19,FF182738,384,32,1,N
<tile>0,1A,FF182738,416,0,1,N
<tile>0,1B,FF182738,416,32,1,N
<tile>0,1C,FF182738,448,0,1,N
<tile>0,1D,FF182738,448,32,1,N
<tile>0,1E,FF182738,480,0,1,N
<tile>0,1F,FF182738,480,32,1,N
<tile>0,20,FF182738,0,64,1,N
<tile>0,21,FF182738,0,96,1,N
<tile>0,22,FF182738,32,64,1,N
<tile>0,23,FF182738,32,96,1,N
<tile>0,24,FF182738,64,64,1,N
<tile>0,25,FF182738,64,96,1,N
<tile>0,26,FF182738,96,64,1,N
<tile>0,27,FF182738,96,96,1,N
<tile>0,28,FF182738,128,64,1,N
<tile>0,29,FF182738,128,96,1,N
<tile>0,2A,FF182738,160,64,1,N
<tile>0,2B,FF182738,160,96,1,N
<tile>0,2C,FF182738,192,64,1,N
<tile>0,2D,FF182738,192,96,1,N
<tile>0,2E,FF182738,224,64,1,N
<tile>0,2F,FF182738,224,96,1,N
<tile>0,30,FF182738,256,64,1,N
<tile>0,31,FF182738,256,96,1,N
<tile>0,32,FF182738,288,64,1,N
<tile>0,33,FF182738,288,96,1,N
<tile>0,34,FF182738,320,64,1,N
<tile>0,35,FF182738,320,96,1,N
<tile>0,36,FF182738,352,64,1,N
<tile>0,37,FF182738,352,96,1,N
<tile>0,38,FF182738,384,64,1,N
<tile>0,39,FF182738,384,96,1,N
<tile>0,3A,FF182738,416,64,1,N
<tile>0,3B,FF182738,416,96,1,N
<tile>0,3C,FF182738,448,64,1,N
<tile>0,3D,FF182738,448,96,1,N
<tile>0,3E,FF182738,480,64,1,N
<tile>0,3F,FF182738,480,96,1,N
<tile>0,40,FF0A1B3B,0,128,1,N
<tile>0,41,FF0A1B3B,0,160,1,N
<tile>0,42,FF0A1B3B,32,128,1,N
<tile>0,43,FF0A1B3B,32,160,1,N
<tile>0,44,FF0A1B3B,64,128,1,N
<tile>0,45,FF0A1B3B,64,160,1,N
<tile>0,46,FF0A1B3B,96,128,1,N
<tile>0,47,FF0A1B3B,96,160,1,N
<tile>0,48,FF0A1B3B,128,128,1,N
<tile>0,49,FF0A1B3B,128,160,1,N
<tile>0,4A,FF0A1B3B,160,128,1,N
<tile>0,4B,FF0A1B3B,160,160,1,N
<tile>0,4C,FF0A1B3B,192,128,1,N
<tile>0,4D,FF0A1B3B,192,160,1,N
<tile>0,4E,FF0A1B3B,224,128,1,N
<tile>0,4F,FF0A1B3B,224,160,1,N
<tile>0,50,FF0A1B3B,256,128,1,N
<tile>0,51,FF0A1B3B,256,160,1,N
<tile>0,52,FF0A1B3B,288,128,1,N
<tile>0,53,FF0A1B3B,288,160,1,N
<tile>0,54,FF0A1B3B,320,128,1,N
<tile>0,55,FF0A1B3B,320,160,1,N
<tile>0,56,FF0A1B3B,352,128,1,N
<tile>0,57,FF0A1B3B,352,160,1,N
<tile>0,58,FF0A1B3B,384,128,1,N
<tile>0,59,FF0A1B3B,384,160,1,N
<tile>0,5A,FF0A1B3B,416,128,1,N
<tile>0,5B,FF0A1B3B,416,160,1,N
<tile>0,5C,FF0A1B3B,448,128,1,N
<tile>0,5D,FF0A1B3B,448,160,1,N
<tile>0,5E,FF0A1B3B,480,128,1,N
<tile>0,5F,FF0A1B3B,480,160,1,N
<tile>0,60,FF182738,0,192,1,N
<tile>0,61,FF182738,0,224,1,N
<tile>0,62,FF182738,32,192,1,N
<tile>0,63,FF182738,32,224,1,N
<tile>0,64,FF182738,64,192,1,N
<tile>0,65,FF182738,64,224,1,N
<tile>0,66,FF182738,96,192,1,N
<tile>0,67,FF182738,96,224,1,N
<tile>0,68,FF182738,128,192,1,N
